month,day,is_retweet,favorite_count,text
12.0,25,FALSE,413246,"The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg"
12.0,20,FALSE,89941,A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;… https://t.co/cDbN6inXRy
12.0,16,FALSE,37939,"The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it."
12.0,16,FALSE,52751,"The suits said it all – colorful, fun, a little outlandish. That’s what sports should be. Thanks, Craig Sager.  We'll all miss you."
12.0,13,FALSE,52013,"In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our… https://t.co/LhyahsK0sJ"
12.0,13,FALSE,49802,Great to see so many investors come together to work towards a clean energy future. It's a smart investment and it'… https://t.co/aqGx2t7QAZ
12.0,5,FALSE,49870,"Proud of our Champions of Change - folks who prove that, here in America, there's no more powerful role than that o… https://t.co/wbz1YSlUEx"
12.0,1,FALSE,108353,"Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now w… https://t.co/yW9uyfbf1x"
11.0,24,FALSE,37444,"This Thanksgiving, we give thanks for our blessings, and work to fulfill the timeless responsibility we have as Americans to serve others."
11.0,24,FALSE,102979,The Old Soldiers Home in DC has cared for our nation's veterans for 165 years. I was honored to be a small part of… https://t.co/43ttiaLibI
11.0,20,FALSE,667317,"Happy birthday, Joe! The best @VP and friend I could have had alongside me these past eight years. https://t.co/kWH3L5uSFC"
11.0,20,FALSE,79314,One thing I've learned from my time abroad as President: Young people will shape our future long after their leader… https://t.co/bwEltHdPDs
11.0,11,FALSE,168556,"Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom."
11.0,8,FALSE,155124,"Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too."
11.0,3,FALSE,28060,"It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80"
11.0,3,FALSE,278119,It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?
10.0,23,FALSE,82803,"I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW"
10.0,21,FALSE,66212,Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Tha… https://t.co/pLBZQWDFin
10.0,20,FALSE,87778,Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.
10.0,17,FALSE,24921,"For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending ca… https://t.co/OPPnQIJDl2"
10.0,16,FALSE,107381,"For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong."
10.0,14,FALSE,45242,"Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS"
10.0,13,FALSE,33677,"Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS"
10.0,12,FALSE,26889,"Now this was fun. Artificial intelligence, space travel—hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08"
10.0,11,FALSE,61694,"On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility."
10.0,10,FALSE,100244,"Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans."
10.0,7,FALSE,56283,Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG
10.0,6,FALSE,28338,"Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s"
10.0,5,FALSE,42190,Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.
10.0,3,FALSE,16551,Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP
10.0,3,FALSE,20840,What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.
10.0,2,FALSE,38575,"Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy."
10.0,1,FALSE,18043,Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK
9.0,29,FALSE,23345,"Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA."
9.0,27,FALSE,97748,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.
9.0,27,FALSE,35779,Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r
9.0,26,FALSE,51813,"Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arn… https://t.co/r4dLQqt45A"
9.0,24,FALSE,24649,Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.
9.0,6,FALSE,28460,"Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries."
9.0,5,FALSE,58336,"Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!"
8.0,29,FALSE,21601,Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x
8.0,29,FALSE,24690,"Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed."
8.0,26,FALSE,70616,"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started."
8.0,25,FALSE,33645,"100 years and going strong. Thanks @NatlParkService for your service, so our kids enjoy our parks as much as we have https://t.co/1v3W2HLD6f"
8.0,25,FALSE,17557,"Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f"
8.0,22,FALSE,77429,"Couldn't be prouder of #TeamUSA. Your determination and passion inspired so many of us. You carried that flag high tonight, @Simone_Biles!"
8.0,14,FALSE,73314,Final win for Phelps. World record for Ledecky. 3 #1 finishes for Biles. That's how #TeamUSA gets America to 1000 golds-way to make history.
8.0,11,FALSE,248407,"Been waiting to drop this: summer playlist, the encore. What's everybody listening to? https://t.co/mqh1YVrycj"
8.0,6,FALSE,49117,The struggle for the Voting Rights Act taught us that people who love this country can change it. Don't give away your power - go vote.
8.0,5,FALSE,42605,"Tonight, the first-ever #TeamRefugees will also stand before the world and prove that you can succeed no matter where you're from."
8.0,5,FALSE,42277,Ready to root on #TeamUSA! Our team's unity and diversity makes us so proud - and reminds the world why America sets the gold standard.
8.0,5,FALSE,45125,"Longest streak of total job growth on record, wages rising at fastest pace in 7 years. We've come a long way, America—let's keep it going."
7.0,29,FALSE,187635,"Great speech. She's tested. She's ready. She never quits. That's why Hillary should be our next @POTUS. (She'll get the Twitter handle, too)"
7.0,26,FALSE,554538,"Incredible speech by an incredible woman. Couldn't be more proud &amp; our country has been blessed to have her as FLOTUS. I love you, Michelle."
7.0,22,FALSE,16912,"¡Bienvenido, amigo! We value our enduring partnership with Mexico &amp; will work to strengthen it in the years to come. https://t.co/mjlABSm7jF"
7.0,20,FALSE,34199,"This map says it all. Stay safe as it heats up: Drink water, stay out of the sun, and check on your neighbors. https://t.co/c1qFTmq2IV"
7.0,18,FALSE,14514,44 men came home because Chuck Kettles believed that we leave no man behind. That's America at our best. https://t.co/UymO2AaRHg
7.0,14,FALSE,21461,"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e"
7.0,5,FALSE,40900,"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!"
7.0,4,FALSE,51699,"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you."
7.0,2,FALSE,54111,Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.
6.0,30,FALSE,8790,"The list goes on. When Members return, I hope they'll share my commitment to work together to do what must be done. https://t.co/l8nChcXpml"
6.0,30,FALSE,8696,Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.
6.0,30,FALSE,6787,"After more than 100 days, the Supreme Court still needs its 9th judge, but the Senate GOP refuses to do its job and consider Judge Garland."
6.0,30,FALSE,3796,Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.
6.0,30,FALSE,14534,Proud to sign laws to improve transparency and avert a crisis in Puerto Rico. I'd hoped to use my pen more often before Congress left town.
6.0,30,FALSE,30724,"Until next time, Justin. Good to know that Canada and the world will benefit from your leadership for years to come. https://t.co/T10g64niul"
6.0,27,FALSE,16144,"Women’s opportunities are expanded and our nation is stronger when all of our citizens have accessible, affordable health care."
6.0,27,FALSE,112952,Every woman has a constitutional right to make her own reproductive choices. I'm pleased to see the Supreme Court reaffirm that fact today.
6.0,22,FALSE,55859,Thank you John Lewis for leading on gun violence where we need it most. https://t.co/vctfqAH5Wt
6.0,21,FALSE,21023,"By giving him its highest rating, the American Bar Association confirms what we all know: Judge Garland should serve on the Supreme Court."
6.0,21,FALSE,112093,"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people."
6.0,20,FALSE,70345,What a game and what a series for the @Cavs. Happy to see @KingJames bring it home for Cleveland!
6.0,19,FALSE,27887,Happy Father's Day to all the dads out there. Glad to be spending this one with my family in Yosemite. https://t.co/SaNJgmoIK1
6.0,4,FALSE,145072,"He shook up the world, and the world's better for it. Rest in peace, Champ. https://t.co/z1yM3sSLH3"
6.0,2,FALSE,42550,We cannot accept our level of gun violence as the new normal. We must take action to prevent this from happening again &amp; again. #WearOrange
5.0,30,FALSE,38845,"This Memorial Day, I hope you'll join me in acts of remembrance. The debt we owe our fallen heroes is one we can never truly repay."
4.0,14,FALSE,54944,"Big night of basketball - @Warriors chasing 73 and a farewell for an
all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0"
4.0,12,FALSE,12936,Proud to designate the Belmont-Paul national monument for women's equality. Let's keep up their fight with #EqualPay for women today.
4.0,8,FALSE,49631,Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space exploration.
4.0,4,FALSE,22338,Nobody should have to choose between losing a paycheck &amp; caring for their family. I applaud @NYGovCuomo for taking a big step on paid leave.
3.0,29,FALSE,4317,"Thank you for your leadership @RepHalRogers. This epidemic doesn't discriminate between red or blue, so it's up to all of us to do our part."
3.0,27,FALSE,133934,"From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB"
3.0,20,FALSE,63175,"¿Que bolá Cuba? Just touched down here, looking forward to meeting and hearing directly from the Cuban people."
3.0,17,FALSE,4987,A great example of how tech can make our democracy stronger. Thanks for answering the call to serve. https://t.co/dFU57cuxo8
3.0,16,FALSE,34392,Proud to nominate Judge Merrick Garland to the Supreme Court. I ask Senators to meet their constitutional duty and give him a fair hearing.
3.0,11,FALSE,5707,"Looking forward to discussing more ways we can modernize government so it's as smart and dynamic as America itself. See you soon, Austin."
3.0,11,FALSE,3115,Seniors can now apply for Social Security benefits online: https://t.co/jPEHLkNxfk
3.0,11,FALSE,4341,Nearly 1 in 3 American families struggle to afford diapers. We're working with the private sector to help fix this. https://t.co/fxvdOCFeET
3.0,11,FALSE,4660,"Immigrants can now apply online to renew their green cards faster, and prep for the citizenship civics test online."
3.0,11,FALSE,3884,We've cut the time it takes students to apply for financial aid by two-thirds thanks to a simplified FAFSA form: https://t.co/WDD1UrSXIR
3.0,11,FALSE,8025,"At #SXSW, I'll make the case that tech and innovation can make government work better for everyone. Here's how it's working better already:"
3.0,8,FALSE,37115,"Happy #InternationalWomensDay! When women are free to pursue their dreams, nations are more safe, more secure, and more prosperous."
3.0,2,FALSE,41363,"Welcome back to Earth, @StationCDRKelly! Your year in space is vital to the future of American space travel. Hope gravity isn't a drag!"
3.0,2,FALSE,6438,Play ball! https://t.co/S4DhVYa4Ef
2.0,26,FALSE,13120,"Isiah, I'm so proud of you. Your kindness and willingness to help others is why I'm so hopeful for our future. https://t.co/RakSNxe7rk"
2.0,22,FALSE,7396,We've made big strides in the fight against Malaria - saving millions of lives. That's American leadership at work. https://t.co/jVdeE4Qktw
2.0,18,FALSE,4805,Here's how we're looking at the road ahead: https://t.co/a0KcsmpF39
2.0,18,FALSE,12999,"Next month, I'll travel to Cuba to advance our progress and efforts that can improve the lives of the Cuban people."
2.0,18,FALSE,5177,We still have differences with the Cuban government that I will raise directly. America will always stand for human rights around the world.
2.0,18,FALSE,5194,Our flag flies over our Embassy in Havana once again. More Americans are traveling to Cuba than at any time in the last 50 years.
2.0,18,FALSE,12011,"14 months ago, I announced that we would begin normalizing relations with Cuba - and we've already made significant progress."
2.0,13,FALSE,26644,Got a view yesterday of the lands we protected in CA. We owe it to our kids to preserve America's natural beauty. https://t.co/8OR9MrupyG
2.0,11,FALSE,21213,Einstein was right! Congrats to @NSF and @LIGO on detecting gravitational waves - a huge breakthrough in how we understand the universe.
2.0,11,FALSE,5923,"Way to ace your AP Calc test, Landon! You should come drop some knowledge at the White House Science Fair: https://t.co/hFaAgxVdEE"
2.0,9,FALSE,16421,"Just got off the phone with Coach Kubiak. Congrats to Peyton, Von Miller, and that monster @Broncos defense - see you at the White House!"
2.0,4,FALSE,15215,Just got great news - nearly 13 million Americans signed up this round for private health insurance thanks to the Affordable Care Act.
1.0,31,FALSE,7056,Cedrick; way to go on your perfect score! How about you come by the next White House Science Fair? https://t.co/r8TGIJICh7
1.0,31,FALSE,5810,"If you or someone you care about needs affordable health coverage, head over to https://t.co/A3qPizu4p2. Today's the last day to sign up!"
1.0,29,FALSE,8690,We just took an important step on equal pay. Let's keep at it until every woman &amp; girl gets a fair shot at success: https://t.co/OJAsaK6ImG
1.0,25,FALSE,26555,The science couldn't be clearer - we owe it to our kids to do everything we can to combat climate change. https://t.co/497Wkkve58
1.0,20,FALSE,5374,Seven years ago I bet on American workers and the American auto industry. I’d make that bet again any day of the week.
1.0,20,FALSE,3699,Cars and trucks made in the USA are more fuel efficient than ever before – and still the best in the world.
1.0,20,FALSE,2510,"American automakers have added more than 640,000 jobs since mid-2009 – the strongest job growth on record. https://t.co/kLruJgpZI1"
1.0,20,FALSE,3184,"In 2009, auto sales hit a 27-year low. Last year, they hit an all-time high. https://t.co/pDc8W8mtb5"
1.0,20,FALSE,7776,Headed to the Detroit Auto Show today to showcase how our auto industry has come roaring back from the financial crisis. Here are the stats:
1.0,18,FALSE,50552,Today we honor a man who challenged us to bend the arc of the moral universe toward justice. Let's keep working to realize Dr. King's dream.
1.0,14,FALSE,6196,"Alright everyone, this was a lot of fun. Thanks for the great conversation. i'll be back soon!"
1.0,14,FALSE,1965,places to start - @GabbyGiffords's https://t.co/ATm1M4iMgU and @Everytown
1.0,14,FALSE,2098,great - we need well-meaning folks from all stripes to get info on how we can respect 2A and reduce gun violence https://t.co/dZ0vRltrZg
1.0,14,FALSE,4712,"the night aca passed; standing on truman balcony with all staff whod made it happen, knowing we'd helped millions. https://t.co/eUr3rZ3UN7"
1.0,14,FALSE,1767,despite court cases like citizens united ill work with orgs/states across US to find new ways 2 reduce $ in politics https://t.co/fuTdewJcyh
1.0,14,FALSE,5177,"so we all need to speak out against bias and stereotypes, to protect the freedom of others, and our own as well."
1.0,14,FALSE,3155,overwhelming majority of americans understand of diversity and religious pluralism is one of our greatest strengths  https://t.co/AM1JLoA1TI
1.0,14,FALSE,1586,"health care inflation lowest in decades since ACA passed; problem is more costs passed to workers thru copays, etc. https://t.co/ElBcrjxa6L"
1.0,14,FALSE,6427,"love em all, but as a bulls fan got to go with mj. in baton rouge, just met lsu freshman ben simmons - will be great https://t.co/Du1gflVYp4"
1.0,14,FALSE,2196,"new power plant rule reduces biggest source of CO2; now we need to invest in clean energy tech, energy efficiency. https://t.co/gQg3FEHXxo"
1.0,14,FALSE,1908,new LA gov edwards just expanded medicaid; gets 1000s coverage &amp; helps the state budget. more states need to follow  https://t.co/08mDX2H4Pt
1.0,14,FALSE,5133,"Expanded pell grants, capped loan repayments at 10% income, but now want to also make 2 yrs community college free. https://t.co/RS9XFDpp9c"
1.0,14,FALSE,7159,"Before I start, wanted to share this. Liberia is now Ebola-free. Great example of what we can achieve when we lead. https://t.co/qjVcwg8tIi"
1.0,14,FALSE,5142,Hey everyone! Ready to answer your questions here at McKinley High School in Baton Rouge. Let's do this. #AskPOTUS https://t.co/jA1MEbwcxg
1.0,14,FALSE,3630,Looking forward to hearing your ideas about what we can accomplish this year &amp; beyond. I'll answer your questions on #AskPOTUS at 12:30p ET.
1.0,13,FALSE,42240,"I'm treating this last State of the Union just like my first - because I'm still just as hungry. I hope you tune in, because it's for you."
1.0,12,FALSE,9602,"So proud of you, Scott. How long is the delay up there? See you when you get back!  https://t.co/doBpaDeZXq"
1.0,6,FALSE,3438,"About time, Denis! Welcome. Let me know if you need any pointers. https://t.co/WullueHj28"
1.0,4,FALSE,23829,"The gun lobby may be holding Congress hostage, but they can't hold America hostage. We can't accept this carnage in our communities."
1.0,4,FALSE,12428,What's often ignored in this debate is that a majority of gun owners agree with commonsense steps to save lives.
1.0,4,FALSE,10522,"We will keep guns out of the wrong hands, enforce our guns laws, and ensure those with serious mental illnesses get treatment."
1.0,4,FALSE,14799,"Tomorrow, I'm taking action to reduce gun violence and save lives - protecting the Second Amendment and our kids. https://t.co/vNqXEhaC9M"
1.0,4,FALSE,9735,"Guns now kill as many people as cars in almost half of the U.S. We can't stop every act of violence, but we can save lives if we act."
1.0,4,FALSE,18043,"Each year, more than 30,000 American lives are cut short by guns - two-thirds coming from suicides. Too many Americans have lost loved ones."
